state,year,quarter,pi
Alaska,2011,4,4.0933771
Alaska,2012,1,3.4463923
Alaska,2012,2,2.4376163
Alaska,2012,3,1.2816674
Alaska,2012,4,1.171124
Alaska,2013,1,3.8189697
Alaska,2013,2,3.6151855
Alaska,2013,3,3.6186805
Alaska,2013,4,4.6834545
Alaska,2014,1,2.5906346
Alaska,2014,2,0.32174104
Alaska,2014,3,2.4247842
Alaska,2014,4,3.4305842
Alaska,2015,1,2.7784727
Alaska,2015,2,2.8914762
Alaska,2015,3,-0.68650746
Alaska,2015,4,-1.1916203
Alaska,2016,1,-1.3184928
Alaska,2016,2,-0.051563364
Alaska,2016,3,1.4751401
Alaska,2016,4,1.8355398
Alaska,2017,1,1.6394501
Alaska,2017,2,1.9820834
Alaska,2017,3,1.0431432
Alaska,2017,4,2.5556846
Arkansas,1989,1,4.2348814
Arkansas,1989,2,4.7622976
Arkansas,1989,3,4.3071995
Arkansas,1989,4,3.8940096
Arkansas,1990,1,4.0202694
Arkansas,1990,2,3.4694655
Arkansas,1990,3,3.3442991
Arkansas,1990,4,4.4269595
Arkansas,1991,1,4.0110655
Arkansas,1991,2,4.0431776
Arkansas,1991,3,3.9154735
Arkansas,1991,4,2.9716384
Arkansas,1992,1,2.2603259
Arkansas,1992,2,1.8148278
Arkansas,1992,3,1.6856574
Arkansas,1992,4,1.913352
Arkansas,1993,1,2.4211459
Arkansas,1993,2,2.7392304
Arkansas,1993,3,2.7084444
Arkansas,1993,4,2.2538052
Arkansas,1994,1,1.8740417
Arkansas,1994,2,1.7448511
Arkansas,1994,3,3.0065038
Arkansas,1994,4,2.3359001
Arkansas,1995,1,2.6915717
Arkansas,1995,2,2.7247074
Arkansas,1995,3,1.2935926
Arkansas,1995,4,1.5031444
Arkansas,1996,1,1.6158313
Arkansas,1996,2,2.0872545
Arkansas,1996,3,3.3099885
Arkansas,1996,4,3.9499314
Arkansas,1997,1,3.4791534
Arkansas,1997,2,2.8705788
Arkansas,1997,3,1.6542336
Arkansas,1997,4,1.5547072
Arkansas,1998,1,0.45201656
Arkansas,1998,2,0.069757864
Arkansas,1998,3,-0.28145534
Arkansas,1998,4,-0.52933693
Arkansas,1999,1,-0.19166695
Arkansas,1999,2,0.21876618
Arkansas,1999,3,0.78190452
Arkansas,1999,4,1.2313421
Arkansas,2000,1,2.1213713
Arkansas,2000,2,3.1898327
Arkansas,2000,3,3.5265567
Arkansas,2000,4,2.5564311
Arkansas,2001,1,2.8272643
Arkansas,2001,2,2.5638852
Arkansas,2001,3,1.9229647
Arkansas,2001,4,1.8754069
Arkansas,2002,1,2.3130322
Arkansas,2002,2,1.9078821
Arkansas,2002,3,1.5126088
Arkansas,2002,4,2.3142138
Arkansas,2003,1,2.491569
Arkansas,2003,2,0.63609529
Arkansas,2003,3,0.61608547
Arkansas,2003,4,-0.14239053
Arkansas,2004,1,-0.81390607
Arkansas,2004,2,1.773234
Arkansas,2004,3,3.0699048
Arkansas,2004,4,3.814256
Arkansas,2005,1,3.340286
Arkansas,2005,2,2.8894548
Arkansas,2005,3,2.9388306
Arkansas,2005,4,2.4912784
Arkansas,2006,1,2.6818511
Arkansas,2006,2,2.1351795
Arkansas,2006,3,2.2679739
Arkansas,2006,4,2.2323644
Arkansas,2007,1,2.9246929
Arkansas,2007,2,1.740621
Arkansas,2007,3,1.7530347
Arkansas,2007,4,2.1918876
Arkansas,2008,1,2.0099297
Arkansas,2008,2,4.1679564
Arkansas,2008,3,3.0639472
Arkansas,2008,4,2.1233411
Arkansas,2009,1,0.77235806
Arkansas,2009,2,-1.0792489
Arkansas,2009,3,-1.0654114
Arkansas,2009,4,-0.75949138
Arkansas,2010,1,0.29518461
Arkansas,2010,2,1.1653802
Arkansas,2010,3,0.78845698
Arkansas,2010,4,0.82366103
Arkansas,2011,1,1.0616179
Arkansas,2011,2,2.3356624
Arkansas,2011,3,4.157567
Arkansas,2011,4,3.310442
Arkansas,2012,1,3.3305328
Arkansas,2012,2,1.2416685
Arkansas,2012,3,-2.3311238
Arkansas,2012,4,-2.9836314
Arkansas,2013,1,-2.5814793
Arkansas,2013,2,-1.8348346
Arkansas,2013,3,1.0041629
Arkansas,2013,4,2.0038149
Arkansas,2014,1,0.92254519
Arkansas,2014,2,2.9517839
Arkansas,2014,3,3.0124037
Arkansas,2014,4,2.9275174
Arkansas,2015,1,1.9352343
Arkansas,2015,2,0.94007832
Arkansas,2015,3,-0.24000593
Arkansas,2015,4,0.44494355
Arkansas,2016,1,1.2315682
Arkansas,2016,2,0.79424644
Arkansas,2016,3,-0.011608075
Arkansas,2016,4,0.21246664
Arkansas,2017,1,1.7261145
Arkansas,2017,2,4.8646688
Arkansas,2017,3,4.1636109
Arkansas,2017,4,5.3223343
California,1978,1,6.7570376
California,1978,2,6.2706375
California,1978,3,7.5066209
California,1978,4,8.2743034
California,1979,1,10.0706
California,1979,2,10.428087
California,1979,3,11.676684
California,1979,4,11.899578
California,1980,1,12.293703
California,1980,2,12.493711
California,1980,3,12.187726
California,1980,4,11.64022
California,1981,1,10.270343
California,1981,2,8.9931574
California,1981,3,8.1542673
California,1981,4,7.8781118
California,1982,1,7.6459694
California,1982,2,6.7294273
California,1982,3,5.2936912
California,1982,4,4.8621917
California,1983,1,3.4493523
California,1983,2,3.3943961
California,1983,3,3.665885
California,1983,4,3.0582175
California,1984,1,4.4991455
California,1984,2,4.0817795
California,1984,3,3.9649122
California,1984,4,4.2510109
California,1985,1,3.4453926
California,1985,2,3.8732183
California,1985,3,3.7235959
California,1985,4,2.6183393
California,1986,1,2.0871642
California,1986,2,2.5327239
California,1986,3,2.4723988
California,1986,4,2.339699
California,1989,1,4.5846395
California,1989,2,4.5802674
California,1989,3,4.1743288
California,1989,4,3.8827465
California,1990,1,4.0837536
California,1990,2,3.5836985
California,1990,3,3.9598477
California,1990,4,5.0199451
California,1991,1,4.727499
California,1991,2,4.2432156
California,1991,3,4.1943617
California,1991,4,3.239197
California,1992,1,2.8443034
California,1992,2,3.1459365
California,1992,3,2.3859169
California,1992,4,2.4191453
California,1993,1,2.7106676
California,1993,2,2.4814572
California,1993,3,2.3883123
California,1993,4,2.6070294
California,1994,1,2.1251669
California,1994,2,1.7240815
California,1994,3,1.7412704
California,1994,4,1.5911406
California,1995,1,2.2129917
California,1995,2,2.599081
California,1995,3,2.0968962
California,1995,4,1.3979223
California,1996,1,0.9070074
California,1996,2,1.312816
California,1996,3,2.1348798
California,1996,4,2.6553042
California,1997,1,2.7276306
California,1997,2,2.2530224
California,1997,3,1.6223806
California,1997,4,1.6568909
California,1998,1,0.38668305
California,1998,2,0.48575577
California,1998,3,0.30079538
California,1998,4,0.20455652
California,1999,1,1.6655784
California,1999,2,2.1585722
California,1999,3,2.7821336
California,1999,4,2.8614509
California,2000,1,3.0770805
California,2000,2,3.149586
California,2000,3,3.8162725
California,2000,4,3.8154373
California,2001,1,4.3735723
California,2001,2,4.0620089
California,2001,3,3.0859656
California,2001,4,2.622792
California,2002,1,2.1443939
California,2002,2,2.7479084
California,2002,3,2.9805436
California,2002,4,3.8312044
California,2003,1,3.8877497
California,2003,2,2.8958023
California,2003,3,2.5505545
California,2003,4,1.8430808
California,2004,1,1.2279788
California,2004,2,1.4083511
California,2004,3,1.7560247
California,2004,4,2.7985792
California,2005,1,2.9359412
California,2005,2,3.5500491
California,2005,3,3.8367355
California,2005,4,3.8108354
California,2006,1,4.5820794
California,2006,2,4.22508
California,2006,3,3.6727331
California,2006,4,2.691848
California,2007,1,2.1476252
California,2007,2,2.067822
California,2007,3,1.9349248
California,2007,4,2.4408638
California,2008,1,2.5372839
California,2008,2,3.4282045
California,2008,3,4.1054692
California,2008,4,2.2622037
California,2009,1,0.99546146
California,2009,2,0.24708657
California,2009,3,0.43358254
California,2009,4,2.2392247
California,2010,1,3.1415493
California,2010,2,3.3425069
California,2010,3,2.7081535
California,2010,4,2.2914639
California,2011,1,2.7557666
California,2011,2,3.0598381
California,2011,3,2.9890399
California,2011,4,2.4914684
California,2012,1,1.4771364
California,2012,2,1.2289543
California,2012,3,1.2078395
California,2012,4,1.411833
California,2013,1,1.9157193
California,2013,2,1.3939062
California,2013,3,1.0785012
California,2013,4,0.9498167
California,2014,1,1.1891317
California,2014,2,1.5585117
California,2014,3,2.1883345
California,2014,4,1.7778811
California,2015,1,1.2113085
California,2015,2,1.5482904
California,2015,3,0.98254991
California,2015,4,1.3560686
California,2016,1,1.9722468
California,2016,2,2.3036234
California,2016,3,2.2608833
California,2016,4,2.7619162
California,2017,1,2.750144
California,2017,2,1.7716173
California,2017,3,1.2019249
California,2017,4,1.2726835
Colorado,1989,1,5.3296523
Colorado,1989,2,4.870491
Colorado,1989,3,5.251658
Colorado,1989,4,4.1901512
Colorado,1990,1,3.3702457
Colorado,1990,2,2.8854821
Colorado,1990,3,2.6337295
Colorado,1990,4,4.520041
Colorado,1991,1,3.9399395
Colorado,1991,2,3.8690319
Colorado,1991,3,2.5346994
Colorado,1991,4,2.1441984
Colorado,1992,1,1.3817661
Colorado,1992,2,2.0692053
Colorado,1992,3,2.7946689
Colorado,1992,4,1.8822742
Colorado,1993,1,1.9796551
Colorado,1993,2,1.821498
Colorado,1993,3,1.1584005
Colorado,1993,4,0.83590126
Colorado,1994,1,1.7447019
Colorado,1994,2,1.7116065
Colorado,1994,3,2.4744689
Colorado,1994,4,2.8832812
Colorado,1995,1,2.8974421
Colorado,1995,2,3.3910394
Colorado,1995,3,2.7840028
Colorado,1995,4,2.1304893
Colorado,1996,1,1.5571331
Colorado,1996,2,1.3524576
Colorado,1996,3,1.75605
Colorado,1996,4,1.8462998
Colorado,1997,1,2.3013031
Colorado,1997,2,2.187798
Colorado,1997,3,2.2969389
Colorado,1997,4,3.0490804
Colorado,1998,1,1.8190097
Colorado,1998,2,1.3150567
Colorado,1998,3,1.5176438
Colorado,1998,4,0.82992524
Colorado,1999,1,1.4185938
Colorado,1999,2,1.9934627
Colorado,1999,3,2.0925515
Colorado,1999,4,2.6518366
Colorado,2000,1,2.9598327
Colorado,2000,2,4.0107775
Colorado,2000,3,4.5586729
Colorado,2000,4,4.4246607
Colorado,2001,1,5.5843496
Colorado,2001,2,5.1083031
Colorado,2001,3,5.9028335
Colorado,2001,4,4.8235068
Colorado,2002,1,4.3251085
Colorado,2002,2,3.9411225
Colorado,2002,3,1.9474783
Colorado,2002,4,2.7911029
Colorado,2003,1,2.0152733
Colorado,2003,2,332.52344
Colorado,2003,3,3.0872722
Colorado,2003,4,2.3844576
Colorado,2004,1,2.3944852
Colorado,2004,2,1.4232073
Colorado,2004,3,2.0975604
Colorado,2004,4,2.7419603
Colorado,2005,1,3.0417707
Colorado,2005,2,3.6381736
Colorado,2005,3,4.0610585
Colorado,2005,4,5.1073213
Colorado,2006,1,4.9016914
Colorado,2006,2,3.7343853
Colorado,2006,3,3.0795166
Colorado,2006,4,1.9474627
Colorado,2007,1,2.4118512
Colorado,2007,2,2.7841811
Colorado,2007,3,2.0307972
Colorado,2007,4,2.594496
Colorado,2008,1,2.6417787
Colorado,2008,2,4.422235
Colorado,2008,3,6.798327
Colorado,2008,4,4.2266297
Colorado,2009,1,2.527422
Colorado,2009,2,-0.18497054
Colorado,2009,3,-1.0997024
Colorado,2009,4,1.5213821
Colorado,2010,1,2.5680211
Colorado,2010,2,3.5323589
Colorado,2010,3,3.0229692
Colorado,2010,4,3.3506358
Colorado,2011,1,4.7216392
Colorado,2011,2,5.2628884
Colorado,2011,3,6.3706474
Colorado,2011,4,4.8822312
Colorado,2012,1,3.1313031
Colorado,2012,2,2.6498301
Colorado,2012,3,2.2800145
Colorado,2012,4,2.5384798
Colorado,2013,1,2.3934352
Colorado,2013,2,2.4456894
Colorado,2013,3,2.6131034
Colorado,2013,4,3.7535782
Colorado,2014,1,4.5109205
Colorado,2014,2,4.7764635
Colorado,2014,3,3.6465321
Colorado,2014,4,1.257422
Colorado,2015,1,-0.20228697
Colorado,2015,2,-0.70469022
Colorado,2015,3,-1.3537494
Colorado,2015,4,-1.9781324
Colorado,2016,1,-0.60045958
Colorado,2016,2,-1.7070179
Colorado,2016,3,-0.34126529
Colorado,2016,4,1.3188022
Colorado,2017,1,1.8065246
Colorado,2017,2,1.9617542
Colorado,2017,3,1.9618711
Colorado,2017,4,3.0685763
Connecticut,1989,1,5.3294034
Connecticut,1989,2,5.597374
Connecticut,1989,3,4.6221099
Connecticut,1989,4,5.0180879
Connecticut,1990,1,5.4847541
Connecticut,1990,2,4.2228184
Connecticut,1990,3,4.6290064
Connecticut,1990,4,4.8665657
Connecticut,1991,1,3.7052746
Connecticut,1991,2,3.8408744
Connecticut,1991,3,2.4598408
Connecticut,1991,4,2.4233892
Connecticut,1992,1,3.6717057
Connecticut,1992,2,3.952312
Connecticut,1992,3,5.1627145
Connecticut,1992,4,3.425673
Connecticut,1993,1,1.893823
Connecticut,1993,2,1.2062631
Connecticut,1993,3,0.26317623
Connecticut,1993,4,1.5377413
Connecticut,1994,1,0.86178875
Connecticut,1994,2,1.0387245
Connecticut,1994,3,1.0974919
Connecticut,1994,4,-0.079982594
Connecticut,1995,1,0.4828814
Connecticut,1995,2,0.3706862
Connecticut,1995,3,1.3693037
Connecticut,1995,4,1.7711613
Connecticut,1996,1,2.0109229
Connecticut,1996,2,2.9542062
Connecticut,1996,3,2.7796383
Connecticut,1996,4,2.8721232
Connecticut,1997,1,2.6759031
Connecticut,1997,2,1.3257421
Connecticut,1997,3,0.83324933
Connecticut,1997,4,0.20191231
Connecticut,1998,1,-0.339748
Connecticut,1998,2,-0.21701324
Connecticut,1998,3,-0.16108061
Connecticut,1998,4,0.16769613
Connecticut,1999,1,-0.124589
Connecticut,1999,2,0.8389768
Connecticut,1999,3,1.0264466
Connecticut,1999,4,1.5968008
Connecticut,2000,1,2.4126711
Connecticut,2000,2,1.9048047
Connecticut,2000,3,2.5233078
Connecticut,2000,4,2.3524249
Connecticut,2001,1,2.8377447
Connecticut,2001,2,3.1255245
Connecticut,2001,3,2.3573446
Connecticut,2001,4,1.3924284
Connecticut,2002,1,0.0227919
Connecticut,2002,2,1.0642256
Connecticut,2002,3,0.11846014
Connecticut,2002,4,0.96333909
Connecticut,2003,1,2.4225354
Connecticut,2003,2,2.8764074
Connecticut,2003,3,3.484736
Connecticut,2003,4,3.1171837
Connecticut,2004,1,2.3509681
Connecticut,2004,2,1.2680008
Connecticut,2004,3,0.76668
Connecticut,2004,4,0.93008894
Connecticut,2005,1,2.0261192
Connecticut,2005,2,1.935258
Connecticut,2005,3,2.8582582
Connecticut,2005,4,3.4541059
Connecticut,2006,1,3.2482514
Connecticut,2006,2,4.0576911
Connecticut,2006,3,4.536098
Connecticut,2006,4,2.3324962
Connecticut,2007,1,1.769102
Connecticut,2007,2,1.4906464
Connecticut,2007,3,1.073658
Connecticut,2007,4,1.5867747
Connecticut,2008,1,2.4017105
Connecticut,2008,2,3.2825172
Connecticut,2008,3,4.092227
Connecticut,2008,4,2.1439979
Connecticut,2009,1,-0.74154299
Connecticut,2009,2,-2.3691535
Connecticut,2009,3,-3.7449882
Connecticut,2009,4,-0.050106987
Connecticut,2010,1,2.3498752
Connecticut,2010,2,1.7927818
Connecticut,2010,3,2.0165315
Connecticut,2010,4,-0.19430012
Connecticut,2011,1,0.85828954
Connecticut,2011,2,2.4084475
Connecticut,2011,3,3.5119483
Connecticut,2011,4,5.5194693
Connecticut,2012,1,4.0136361
Connecticut,2012,2,3.3584557
Connecticut,2012,3,2.0553026
Connecticut,2012,4,1.4801503
Connecticut,2013,1,1.9041792
Connecticut,2013,2,0.61707145
Connecticut,2013,3,1.7169731
Connecticut,2013,4,1.0507442
Connecticut,2014,1,3.8624349
Connecticut,2014,2,6.1100106
Connecticut,2014,3,4.7140899
Connecticut,2014,4,3.1973114
Connecticut,2015,1,-1.5026072
Connecticut,2015,2,-3.3487945
Connecticut,2015,3,-3.4657335
Connecticut,2015,4,-1.7866762
Connecticut,2016,1,-0.030053638
Connecticut,2016,2,1.1101779
Connecticut,2016,3,1.7768158
Connecticut,2016,4,1.6751618
Connecticut,2017,1,1.8374695
Connecticut,2017,2,2.2207072
Connecticut,2017,3,2.303942
Connecticut,2017,4,3.0769393
District of Columbia,1978,1,17.427307
District of Columbia,1978,2,23.18417
District of Columbia,1978,3,21.794313
District of Columbia,1978,4,13.633264
District of Columbia,1979,1,10.955902
District of Columbia,1979,2,8.0678606
District of Columbia,1979,3,7.6145039
District of Columbia,1979,4,8.2106647
District of Columbia,1980,1,7.5635777
District of Columbia,1980,2,6.1447024
District of Columbia,1980,3,7.1108389
District of Columbia,1980,4,7.7110677
District of Columbia,1981,1,7.4718766
District of Columbia,1981,2,5.3357406
District of Columbia,1981,3,2.5943503
District of Columbia,1981,4,1.9287848
District of Columbia,1982,1,2.1770906
District of Columbia,1982,2,4.1733885
District of Columbia,1982,3,5.3462048
District of Columbia,1982,4,4.6511235
District of Columbia,1983,1,4.0334182
District of Columbia,1983,2,3.3006372
District of Columbia,1983,3,2.9092064
District of Columbia,1983,4,2.0110753
District of Columbia,1984,1,2.6764758
District of Columbia,1984,2,2.576617
District of Columbia,1984,3,3.5803492
District of Columbia,1984,4,4.3065648
District of Columbia,1985,1,2.5031564
District of Columbia,1985,2,2.9327812
District of Columbia,1985,3,1.7591896
District of Columbia,1985,4,1.5020578
District of Columbia,1986,1,1.1436672
District of Columbia,1986,2,-0.2950691
District of Columbia,1986,3,0.14045818
District of Columbia,1986,4,1.3346272
District of Columbia,1989,1,4.7790136
District of Columbia,1989,2,5.2112322
District of Columbia,1989,3,4.8149309
District of Columbia,1989,4,4.3322191
District of Columbia,1990,1,4.6646638
District of Columbia,1990,2,3.9807131
District of Columbia,1990,3,4.1413608
District of Columbia,1990,4,4.6674232
District of Columbia,1991,1,3.9561217
District of Columbia,1991,2,3.3896747
District of Columbia,1991,3,2.2762473
District of Columbia,1991,4,1.5556071
District of Columbia,1992,1,1.0994991
District of Columbia,1992,2,1.6444247
District of Columbia,1992,3,2.1755435
District of Columbia,1992,4,2.8809845
District of Columbia,1993,1,3.5531874
District of Columbia,1993,2,3.9710426
District of Columbia,1993,3,3.6300347
District of Columbia,1993,4,2.8077049
District of Columbia,1994,1,2.3411305
District of Columbia,1994,2,1.4993637
District of Columbia,1994,3,2.1436684
District of Columbia,1994,4,2.2440987
District of Columbia,1995,1,2.210232
District of Columbia,1995,2,2.6179295
District of Columbia,1995,3,1.6378711
District of Columbia,1995,4,0.4144794
District of Columbia,1996,1,0.90559494
District of Columbia,1996,2,1.6200342
District of Columbia,1996,3,2.0169041
District of Columbia,1996,4,2.8762217
District of Columbia,1997,1,2.0257089
District of Columbia,1997,2,0.97713166
District of Columbia,1997,3,0.88984954
District of Columbia,1997,4,0.3539637
District of Columbia,1998,1,-0.038986247
District of Columbia,1998,2,-0.16567862
District of Columbia,1998,3,-0.36358821
District of Columbia,1998,4,-0.44335824
District of Columbia,1999,1,0.31809753
District of Columbia,1999,2,1.1321819
District of Columbia,1999,3,2.038271
District of Columbia,1999,4,3.3145056
District of Columbia,2000,1,3.4802527
District of Columbia,2000,2,3.6107767
District of Columbia,2000,3,2.8515358
District of Columbia,2000,4,1.7030644
District of Columbia,2001,1,2.0015395
District of Columbia,2001,2,1.9412882
District of Columbia,2001,3,2.3516526
District of Columbia,2001,4,2.3549533
District of Columbia,2002,1,1.3795836
District of Columbia,2002,2,1.5628484
District of Columbia,2002,3,1.6320887
District of Columbia,2002,4,1.8704699
District of Columbia,2003,1,2.586354
District of Columbia,2003,2,2.9067116
District of Columbia,2003,3,3.0478721
District of Columbia,2003,4,3.2936697
District of Columbia,2004,1,3.4336843
District of Columbia,2004,2,2.65698
District of Columbia,2004,3,1.7059423
District of Columbia,2004,4,1.8132504
District of Columbia,2005,1,1.3757584
District of Columbia,2005,2,2.0083318
District of Columbia,2005,3,3.1447983
District of Columbia,2005,4,3.6286783
District of Columbia,2006,1,3.6968572
District of Columbia,2006,2,3.7177241
District of Columbia,2006,3,4.0435362
District of Columbia,2006,4,2.5412757
